Final Material,Authors,Corresponding Author,Title,Year,Cited References (#),Times Cited (#),Formation Method,Anna's Notes,Si Precursor,Si Precursor Concentration (M),Additional Si Co-Precursor(s),Si Co-Precursor Concentration (M),Hybrid Aerogel Co-Precursor,Co-Precursor Concentration (M),Dopant,Dopant Concentration (M),Solvent 1,Solvent 1 Concentration (M),Solvent 2,Solvent 2 Concentration (M),Additional Solvents,Additional Solvents Concentrations (M),Acid Catalyst,Acid Catalyst Initial Concentration (M),Acid Catalyst concentration in Sol(M),Base Catalyst,Base Catalyst Initial Concentration(M),Base Catalyst concentration in Sol (M),Hydrolysis Time (hr),Modifier,Modifier Concentration (M),Modifier Solvent,Modifier Solvent (M),Surfactant,Surfactant Concentration (M),Sol 1,Sol 1 Stir rate (rpm),Sol 1 Stir Time (min),Sol 1 Standing time (hr),Sol 1 Temp (°C),pH Sol 1,Sol 2,Sol 2 Stir rate (rpm),Sol 2 Stir Time (min),Sol 2 Standing time (hr),Sol 2 Temp (°C),pH Sol 2,Sol Notes,Gelation Agent,Gelation Agent (M),pH final sol,Gelation Temp (°C),Gelation Pressure (MPa),Gelation Time (mins),Aging Conditions,Aging Temp (°C),Aging Time (hrs),Aging Conditions 2,Aging Temp 2 (°C),Aging Time 2 (hrs),Wash Solvent 1,Wash Times 1 (#),Wash Duration 1 (days),Wash Temp 1 (°C),Wash Solvent 2,Wash Times 2 (#),Wash Duration 2 (days),Wash Temp 2 (°C),Wash Solvent 3,Wash Times 3 (#),Wash Duration 3 (days),Wash Temp 3 (°C),Wash Solvent 4,Wash Times 4 (#),Wash Duration 4 (days),Wash Temp 4 (°C),Wash Solvent 5,Wash Times 5 (#),Wash Duration 5 (days),Wash Temp 5 (°C),Gelation/Washing Notes,Drying Method,Drying Solvent,Drying Temp 1 (°C),Drying Pressure 1 (MPa),Drying Time 1 (hrs),Drying Atmosphere 1,Drying Temp 2 (°C),Drying Pressure 2 (MPa),Drying Time 2 (hrs),Drying Atmosphere 2,Drying Temp 3 (°C),Drying Time 3 (hrs),Drying Atmosphere 3,Drying Pressure 3 (MPa),Drying Temp 4 (°C),Drying Time 4 (hrs),Drying Pressure 4 (MPa),Drying Temp 5 (°C),Drying Time 5 (hrs),Drying Pressure 5 (MPa),Drying Notes,Sintering Temp (°C),Sintering Time (min),Ramp Rate (°C/min),Sintering Atmosphere,Sintering Notes,SEM?,SEM Instrument,Why SEM?,SEM Column,Acceleration Voltage (kV),Emission Current (mA),TEM?,TEM Instrument,Why TEM?,AFM?,AFM Instrument,Why AFM?,AFM Sample PREP,N2 Adsorption-Desorption Isotherms?,N2 A-D Instrument,Why N2 A-D?,Analysis (°C),Analysis Pressure (psi),Degas (°C),Degas Time (min),Degas Gas,BET/BJH?,Why BET/BJH?,XPS?,XPS Instrument,XPS info,Why XPS?,XRD?,XRD Instrument,Radiation,Why XRD?,XRD 2θ Range (°),XRD Increment (°/step),XRD Rate (°/min),XRD Wavelength (Å),kV,mA,FT-IR?,FT-IR Instrument,Why FTIR?,Range (cm-1),Resolution                 (cm-1),Scans (#),TGA?,TGA Instrument,Why TGA?,TGA Temperature (°C),TGA Atmosphere,TGA Ramp Rate (°C/min),Density?,Density Instrument,Medium,Hardness/Compressive Strength?,Hardness Instrument,Load (N),Dwell Time (s),Electrical Conductivty?,Electrical Conductivity Instrument,Why Electrical Conductivity?,Small Angle Neutron Scattering (SANS)?,SANS Instrument,Why SANS?,SANS Wavelength (nm),SANS sample-to-detector distance (m),SANS Detector,Small-Angle X-ray Scattering (SAXS)?,SAXS Instrument,Why SAXS?,SAXS Voltage (kV),SAXS Power (W),Thermal Conductivity,Thermal Conductivity Instrument,TC Sinter Temp (°C),TC Sinter Time (hr),ICP?,ICP Instrument,Why ICP?,DLS,DLS Instrument,Why DLS?,Contact Angle,Raman,Raman Instrument,Why Raman?,Laser,Spectral Resolution (cm-1),Spectra Recorded Between (cm-1),Porosity,Porosity (%),Pore Volume (cm3/g),Average Pore Diameter (nm),Surface Area (m2/g),Bulk Density (g/cm3),Young Modulus (MPa),Thermal Conductivity (W/mK),Crystalline Phase,Nanoparticle Size (nm),Notes,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Index
"MTMS4, 0.18 molar ratio of modifier MTMS to N-hexane","Ha-Yoon Nah,  Younghun Kim, Taehee Kim, Kyu-Yeon Lee, Vinayak G. Parale, Chang-Hyun Lim, Ji-Yeon Seo",Hyung-Ho Park (hhpark@yonsei.ac.kr),Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,0.199,,,,,,,H2O,183.342,,,,,H2SO4,4,0.537,NH4F,1,0.164,,MTMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"MTMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,0.18 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,57.9,0.171,11.45,60,0.93,,,,,,,,,,,,,,48
"MTMS5, 0.22 molar ratio of modifier MTMS to N-hexane","Ha-Yoon Nah,  Younghun Kim, Taehee Kim, Kyu-Yeon Lee, Vinayak G. Parale, Chang-Hyun Lim, Ji-Yeon Seo",Hyung-Ho Park (hhpark@yonsei.ac.kr),Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,0.146,,,,,,,H2O,134.092,,,,,H2SO4,4,0.393,NH4F,1,0.12,,MTMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"MTMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,0.22 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,42,0.1696,12.06,56,0.92,,,,,,,,,,,,,,49
SA-6,"Wei Luo, Binbin Xu, ZhaoHui Liu, Zhongwen Ou, JingMing Liu",Xin Shu (18512390923@163.com),Influence of Hydrolysis Time on Properties of SiO2 Aerogels Prepared by Ambient Pressure Drying,2020.0,23.0,0.0,Sol-gel,Hydrolysis time is the time between addition of acid and base catalyst to sol,TEOS,,,,,,,,EtOH,,,,,,Oxalic Acid,0.01,,NH4OH,0.5,,6,TMCS,,N-hexane,,,,"TEOS, EtOH",,5,,,,Oxalic Acid,0,360,,,,"Sol 2 was added to sol 1 dropwise. After the specified time adding sol 2, NH4OH was also added dropwise",,,,,,37,EtOH,,12,,,,N-hexane,2,1,,"TMCS, N-hexane",1,1,,,N-hexane,,,,,,,,,,,,Ambient Pressure Drying,,50,Ambient,3,,100,Ambient,2,,150,1,,Ambient,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,Mesoporous,90,,,801.165,0.21252,,,,,,,,,,,,,,50
SA-12,"Wei Luo, Binbin Xu, ZhaoHui Liu, Zhongwen Ou, JingMing Liu",Xin Shu (18512390923@163.com),Influence of Hydrolysis Time on Properties of SiO2 Aerogels Prepared by Ambient Pressure Drying,2020.0,23.0,0.0,Sol-gel,,TEOS,,,,,,,,EtOH,,,,,,Oxalic Acid,0.01,,NH4OH,0.5,,12,TMCS,,N-hexane,,,,"TEOS, EtOH",,5,,,,Oxalic Acid,0,720,,,,,,,,,,18,EtOH,,12,,,,N-hexane,2,1,,"TMCS, N-hexane",1,1,,,N-hexane,,,,,,,,,,,,Ambient Pressure Drying,,50,Ambient,3,,100,Ambient,2,,150,1,,Ambient,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,Mesoporous,93,,,1088.4853,0.15192,,,,,,,,,,,,,,51
SA-18,"Wei Luo, Binbin Xu, ZhaoHui Liu, Zhongwen Ou, JingMing Liu",Xin Shu (18512390923@163.com),Influence of Hydrolysis Time on Properties of SiO2 Aerogels Prepared by Ambient Pressure Drying,2020.0,23.0,0.0,Sol-gel,,TEOS,,,,,,,,EtOH,,,,,,Oxalic Acid,0.01,,NH4OH,0.5,,18,TMCS,,N-hexane,,,,"TEOS, EtOH",,5,,,,Oxalic Acid,0,1080,,,,,,,,,,8,EtOH,,12,,,,N-hexane,2,1,,"TMCS, N-hexane",1,1,,,N-hexane,,,,,,,,,,,,Ambient Pressure Drying,,50,Ambient,3,,100,Ambient,2,,150,1,,Ambient,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,Mesoporous,96,,,1539.7706,0.08921,,,,,,,,,,,,,,52
SA-24,"Wei Luo, Binbin Xu, ZhaoHui Liu, Zhongwen Ou, JingMing Liu",Xin Shu (18512390923@163.com),Influence of Hydrolysis Time on Properties of SiO2 Aerogels Prepared by Ambient Pressure Drying,2020.0,23.0,0.0,Sol-gel,,TEOS,,,,,,,,EtOH,,,,,,Oxalic Acid,0.01,,NH4OH,0.5,,24,TMCS,,N-hexane,,,,"TEOS, EtOH",,5,,,,Oxalic Acid,0,1440,,,,,,,,,,5,EtOH,,12,,,,N-hexane,2,1,,"TMCS, N-hexane",1,1,,,N-hexane,,,,,,,,,,,,Ambient Pressure Drying,,50,Ambient,3,,100,Ambient,2,,150,1,,Ambient,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,Mesoporous,95,,,935.0971,0.09852,,,,,,,,,,,,,,53
SA-30,"Wei Luo, Binbin Xu, ZhaoHui Liu, Zhongwen Ou, JingMing Liu",Xin Shu (18512390923@163.com),Influence of Hydrolysis Time on Properties of SiO2 Aerogels Prepared by Ambient Pressure Drying,2020.0,23.0,0.0,Sol-gel,,TEOS,,,,,,,,EtOH,,,,,,Oxalic Acid,0.01,,NH4OH,0.5,,30,TMCS,,N-hexane,,,,"TEOS, EtOH",,5,,,,Oxalic Acid,0,1800,,,,,,,,,,3,EtOH,,12,,,,N-hexane,2,1,,"TMCS, N-hexane",1,1,,,N-hexane,,,,,,,,,,,,Ambient Pressure Drying,,50,Ambient,3,,100,Ambient,2,,150,1,,Ambient,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,Mesoporous,94,,,823.0562,0.13273,,,,,,,,,,,,,,54
SA-36,"Wei Luo, Binbin Xu, ZhaoHui Liu, Zhongwen Ou, JingMing Liu",Xin Shu (18512390923@163.com),Influence of Hydrolysis Time on Properties of SiO2 Aerogels Prepared by Ambient Pressure Drying,2020.0,23.0,0.0,Sol-gel,,TEOS,,,,,,,,EtOH,,,,,,Oxalic Acid,0.01,,NH4OH,0.5,,36,TMCS,,N-hexane,,,,"TEOS, EtOH",,5,,,,Oxalic Acid,0,2160,,,,,,,,,,2,EtOH,,12,,,,N-hexane,2,1,,"TMCS, N-hexane",1,1,,,N-hexane,,,,,,,,,,,,Ambient Pressure Drying,,50,Ambient,3,,100,Ambient,2,,150,1,,Ambient,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,Mesoporous,94,,,823.1393,0.13198,,,,,,,,,,,,,,55
Unmodified Silica Aerogel,"Zhi Li, Matthias M. Koebel, Shanyu Zhao",Wim J. Malfait (wim.malfait@empa.ch),Silica aerogels with tailored chemical functionality,2020.0,119.0,3.0,Sol-gel,,PEDS,0.063,,,,,,,EtOH,1,H2O,0.154,,,,,,NH4OH,5.5,0.006,,,,,,,,"PEDS, EtOH, H2O",,,,,,NH4OH,,,,,,"NH4OH added dropwise, also the grelation agent is the NH4OH added",NH4OH,,,,,,EtOH,65,24,,,,HMDZ,1,1,65,,,,,,,,,,,,,,,,,The HMDZ wash was with 6 wt% hexamethyldisilazane solution,Supercritical Drying,CO2,50,12,6.5,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,No,,,,,,Mesoporous,94,7.7,26.3,1177,0.12,,,,,,,,,,,,,,56
HMDZ Modified Silica Aerogel,"Zhi Li, Matthias M. Koebel, Shanyu Zhao",Wim J. Malfait (wim.malfait@empa.ch),Silica aerogels with tailored chemical functionality,2020.0,119.0,3.0,Sol-gel,,PEDS,0.063,,,,,,,EtOH,1,H2O,0.154,,,,,,NH4OH,5.5,0.006,,HDMZ,1,"EtOH, H2O",,,,"PEDS, EtOH, H2O",,,,,,NH4OH,,,,,,,NH4OH,,,,,,EtOH,65,24,,,,"HDMZ, EtOH, H2O",1,1,65,HMDZ,1,1,65,,,,,,,,,,,,,The HMDZ wash was with 6 wt% hexamethyldisilazane solution,Supercritical Drying,CO2,50,12,6.5,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,No,,,,,,Mesoporous,95,9,42.6,848,0.11,,,,,,,,,,,,,,57
APTES Modified Silica Aerogel,"Zhi Li, Matthias M. Koebel, Shanyu Zhao",Wim J. Malfait (wim.malfait@empa.ch),Silica aerogels with tailored chemical functionality,2020.0,119.0,3.0,Sol-gel,,PEDS,0.063,,,,,,,EtOH,1,H2O,0.154,,,,,,NH4OH,5.5,0.006,,APTES,1,"EtOH, H2O",,,,"PEDS, EtOH, H2O",,,,,,NH4OH,,,,,,,NH4OH,,,,,,EtOH,65,24,,,,"APTES, EtOH, H2O",1,1,65,HMDZ,1,1,65,,,,,,,,,,,,,The HMDZ wash was with 6 wt% hexamethyldisilazane solution,Supercritical Drying,CO2,50,12,6.5,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,No,,,,,,Mesoporous,91,4.6,51.7,356,0.2,,,,,,,,,,,,,,58
VTMS Modified Silica Aerogel,"Zhi Li, Matthias M. Koebel, Shanyu Zhao",Wim J. Malfait (wim.malfait@empa.ch),Silica aerogels with tailored chemical functionality,2020.0,119.0,3.0,Sol-gel,,PEDS,0.063,,,,,,,EtOH,1,H2O,0.154,,,,,,NH4OH,5.5,0.006,,VTMS,1,"EtOH, H2O",,,,"PEDS, EtOH, H2O",,,,,,NH4OH,,,,,,,NH4OH,,,,,,EtOH,65,24,,,,"VTMS, EtOH, H2O",1,1,65,HMDZ,1,1,65,,,,,,,,,,,,,The HMDZ wash was with 6 wt% hexamethyldisilazane solution,Supercritical Drying,CO2,50,12,6.5,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,No,,,,,,Mesoporous,94,6.7,30.9,865,0.14,,,,,,,,,,,,,,59
MEMO Modified Silica Aerogel,"Zhi Li, Matthias M. Koebel, Shanyu Zhao",Wim J. Malfait (wim.malfait@empa.ch),Silica aerogels with tailored chemical functionality,2020.0,119.0,3.0,Sol-gel,,PEDS,0.063,,,,,,,EtOH,1,H2O,0.154,,,,,,NH4OH,5.5,0.006,,MEMO,1,"EtOH, H2O",,,,"PEDS, EtOH, H2O",,,,,,NH4OH,,,,,,,NH4OH,,,,,,EtOH,65,24,,,,"MEMO, EtOH, H2O",1,1,65,HMDZ,1,1,65,,,,,,,,,,,,,The HMDZ wash was with 6 wt% hexamethyldisilazane solution,Supercritical Drying,CO2,50,12,6.5,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,No,,,,,,Mesoporous,91,5.5,35.8,611,0.17,,,,,,,,,,,,,,60
GPTMS Modified Silica Aerogel,"Zhi Li, Matthias M. Koebel, Shanyu Zhao",Wim J. Malfait (wim.malfait@empa.ch),Silica aerogels with tailored chemical functionality,2020.0,119.0,3.0,Sol-gel,,PEDS,0.063,,,,,,,EtOH,1,H2O,0.154,,,,,,NH4OH,5.5,0.006,,GPTMS,1,"EtOH, H2O",,,,"PEDS, EtOH, H2O",,,,,,NH4OH,,,,,,,NH4OH,,,,,,EtOH,65,24,,,,"GPTMS, EtOH, H2O",1,1,65,HMDZ,1,1,65,,,,,,,,,,,,,The HMDZ wash was with 6 wt% hexamethyldisilazane solution,Supercritical Drying,CO2,50,12,6.5,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,No,,,,,,Mesoporous,91,4.8,33.3,579,0.19,,,,,,,,,,,,,,61
PHS Modified Silica Aerogel,"Zhi Li, Matthias M. Koebel, Shanyu Zhao",Wim J. Malfait (wim.malfait@empa.ch),Silica aerogels with tailored chemical functionality,2020.0,119.0,3.0,Sol-gel,,PEDS,0.063,,,,,,,EtOH,1,H2O,0.154,,,,,,NH4OH,5.5,0.006,,PHS,1,"EtOH, H2O",,,,"PEDS, EtOH, H2O",,,,,,NH4OH,,,,,,,NH4OH,,,,,,EtOH,65,24,,,,"PHS, EtOH, H2O",1,1,65,HMDZ,1,1,65,,,,,,,,,,,,,The HMDZ wash was with 6 wt% hexamethyldisilazane solution,Supercritical Drying,CO2,50,12,6.5,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,No,,,,,,Mesoporous,91,4.7,28.5,663,0.19,,,,,,,,,,,,,,62
"T-0, No Base Catalyst","Yujing Wang, Jiexiu Zhai, Daling Yang ",Junnan Han (junnanhan@dlut.edu.cn),The effect of different alkaline catalysts on the formation of silica aerogels prepared by the sol­gel approach,2020.0,40.0,0.0,Sol-gel,,Water Glass,0.002,,,,,,,H2O,0.056,,,,,,,,,,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,30,,,2,,,,,,,,,,2,,,5840,H2O,50,24,EtOH,50,24,N-hexane,1,1,50,"TMCS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,The initial precursor solution of water glass and DI water was ion-exchanged with styrene cation exchange resin to replace the ions in the solution (like Na+) with H+ ions,Ambient Pressure Drying,,50,Ambient,2,,80,Ambient,2,,120,2,,Ambient,180,2,Ambient,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,No,No,No,No,No,No,No,No,No,Mesoporous,94.9,4.139,21.43,772.6,0.111,,,,,,,,,,,,,,63
"T-1, LiOH Base Catalyst","Yujing Wang, Jiexiu Zhai, Daling Yang ",Junnan Han (junnanhan@dlut.edu.cn),The effect of different alkaline catalysts on the formation of silica aerogels prepared by the sol­gel approach,2020.0,40.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,,,,LiOH,1,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,30,,,2,LiOH,,,,,"5.15, 5.25",,,,5.17,,,31,H2O,50,24,EtOH,50,24,N-hexane,1,1,50,"TMCS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,pH is after modification,Ambient Pressure Drying,,50,Ambient,2,,80,Ambient,2,,120,2,,Ambient,180,2,Ambient,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,No,No,No,No,No,No,No,No,No,Mesoporous,94.8,2.799,28.38,394.5,0.11,,,,,,,,,,,,,,64
"T-2, NaOH Base Catalyst","Yujing Wang, Jiexiu Zhai, Daling Yang ",Junnan Han (junnanhan@dlut.edu.cn),The effect of different alkaline catalysts on the formation of silica aerogels prepared by the sol­gel approach,2020.0,40.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,,,,NaOH,1,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,30,,,2,NaOH,,,,,"5.15, 5.25",,,,5.2,,,46,H2O,50,24,EtOH,50,24,N-hexane,1,1,50,"TMCS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,pH is after modification,Ambient Pressure Drying,,50,Ambient,2,,80,Ambient,2,,120,2,,Ambient,180,2,Ambient,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,No,No,No,No,No,No,No,No,No,Mesoporous,94.1,3.349,31.37,427,0.129,,,,,,,,,,,,,,65
"T-3, KOH Base Catalyst","Yujing Wang, Jiexiu Zhai, Daling Yang ",Junnan Han (junnanhan@dlut.edu.cn),The effect of different alkaline catalysts on the formation of silica aerogels prepared by the sol­gel approach,2020.0,40.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,,,,KOH,1,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,30,,,2,KOH,,,,,"5.15, 5.25",,,,5.24,,,37,H2O,50,24,EtOH,50,24,N-hexane,1,1,50,"TMCS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,pH is after modification,Ambient Pressure Drying,,50,Ambient,2,,80,Ambient,2,,120,2,,Ambient,180,2,Ambient,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,No,No,No,No,No,No,No,No,No,Mesoporous,95.5,2.599,27.3,380.7,0.099,,,,,,,,,,,,,,66
"T-4, NH4OH Base Catalyst","Yujing Wang, Jiexiu Zhai, Daling Yang ",Junnan Han (junnanhan@dlut.edu.cn),The effect of different alkaline catalysts on the formation of silica aerogels prepared by the sol­gel approach,2020.0,40.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,,,,NH4OH,1,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,30,,,2,NH4OH,,,,,"5.15, 5.25",,,,5.17,,,36,H2O,50,24,EtOH,50,24,N-hexane,1,1,50,"TMCS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,pH is after modification,Ambient Pressure Drying,,50,Ambient,2,,80,Ambient,2,,120,2,,Ambient,180,2,Ambient,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,No,No,No,No,No,No,No,No,No,Mesoporous,95.1,3.238,31.29,413.9,0.107,,,,,,,,,,,,,,67
S1-Ni2+,"Zhixu Wu, Haifeng Chen, Qixan Du, Lin Yu, Ruiyang Zhang","Xianghua Yang (yangxianghua@gdut.edu.cn), Ying Zhou (yzhou@swpu.edu.cn)",A Facile Preparation of Ambient Pressure–Dried Hydrophilic Silica Aerogels and Their Application in Aqueous Dye Removal,2020.0,43.0,0.0,Sol-gel,,TEOS,,,,,,,,EtOH,,H2O,,DMF,,HCl,0.1,,NH4OH,0.5,,,Ni2+,0.03,,,,,"TEOS, EtOH, H2O, HCl, DMF",,60,,65,,NH4OH,,18,,Ambient,,"Sols 1 and 2 were both stirred, sol 1 was stirred the whole 60 minutes but sol 2 was only stirred for the first 3",,,,Ambient,,15,EtOH,Ambient,24,,,,Ni2+,1,1,Ambient,N-hexane,4,0.5,Ambient,,,,,,,,,,,,,Gels were aged twice in ethanol in 24 hours,Ambient Pressure Drying,,Ambient,Ambient,24,,60,Ambient,4,,100,2,,Ambient,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,Yes,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,No,,,,,,Mesoporous,,0.91,6.88,530.81,,,,Monolithic,,,,,,,,,,,68
