Final Material,Author,Title,Year,Cited References (#),Times Cited (#),Formation Method,Anna's Notes,Zr Precursor,Zr Precursor Concentration (M),Dopant,Dopant Concentration (M),Solvent 1,Solvent 1 Concentration (M),Solvent 2,Additional Solvents,Additional Precursors (non Zr),Modifier,Modifier Concentration (M),Surfactant,Surfactant Concentration (M),Gelation Agent,Gelation Agent (M),pH final sol,Gelation Temp (°C),Gelation Pressure (MPa),Gelation Time (mins),Aging Temp (°C),Aging Time (hrs),Wash Solvent 1,Wash Times 1 (#),Wash Duration 1 (days),Wash Temp 1 (°C),Wash Solvent 2,Wash Times 2 (#),Wash Duration 2 (days),Wash Temp 2 (°C),Wash Solvent 3,Wash Times 3 (#),Wash Duration 3 (days),Wash Temp 3 (°C),Wash Solvent 4,Wash Times 4 (#),Wash Duration 4 (days),Wash Temp 4 (°C),Gelation/Washing Notes,Drying Method,Drying Solvent,Drying Temp (°C),Drying Heating Rate (°C/min),Drying Pressure (MPa),Drying Time (hrs),Drying Atmosphere,Drying Temp 2 (°C),Drying Heating Rate 2 (°C/min),Drying Pressure 2 (MPa),Drying Time 2 (hrs),Drying Atmosphere 2,Drying Notes,Sintering Temp (°C),Sintering Time (min),Ramp Rate (°C/min),Sintering Atmosphere,Sintering Notes,SEM?,SEM Instrument,Why SEM?,SEM Column,Acceleration Voltage (kV),Emission Current (mA),TEM?,TEM Instrument,Why TEM?,AFM?,AFM Instrument,Why AFM?,AFM Sample PREP,N2 Adsorption-Desorption Isotherms?,N2 A-D Instrument,Why N2 A-D?,Analysis (°C),Analysis Pressure (psi),Degas (°C),Degas Time (min),Degas Gas,BET/BJH?,Why BET/BJH?,XPS?,XPS Instrument,XPS info,Why XPS?,XRD?,XRD Instrument,Radiation,Why XRD?,XRD 2θ Range (°),XRD Increment (°/step),XRD Rate (°/min),XRD Wavelength (Å),kV,mA,FT-IR?,FT-IR Instrument,Why FTIR?,Range (cm-1),Resolution                 (cm-1),Scans (#),TGA?,TGA Instrument,Why TGA?,TGA Temperature (°C),TGA Atmosphere,TGA Ramp Rate (°C/min),Density?,Density Instrument,Medium,Hardness?,Hardness Instrument,Load (N),Dwell Time (s),Electrical Conductivty?,Electrical Conductivity Instrument,Why Electrical Conductivity?,Small Angle Neutron Scattering (SANS)?,SANS Instrument,Why SANS?,SANS Wavelength (nm),SANS sample-to-detector distance (m),SANS Detector,Small-Angle X-ray Scattering (SAXS)?,SAXS Instrument,Why SAXS?,SAXS Voltage (kV),SAXS Power (W),Thermal Conductivity,Thermal Conductivity Instrument,TC Sinter Temp (°C),TC Sinter Time (hr),ICP?,ICP Instrument,Why ICP?,DLS,DLS Instrument,Why DLS?,Raman,Raman Instrument,Why Raman?,Laser,Spectral Resolution (cm-1),Spectra Recorded Between (cm-1),Porosity,Porosity (%),Pore Volume (cm3/g),Pore Size (nm),Nanoparticle Size (nm),Surface Area (m2/g),Density (g/cm3),Thermal Conductivity (W/mK),Crystalline Phase,Notes,Index
"Zirconia xerogel, LAA10, as-dried",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.39,,,ethanol,,,hydrochloric acid,,,,,,l-aspartic acid,0.11,,60,,0.5,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,,,,,as-dried,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,0.004,,,0.13,,,amorphous,,164
"Zirconia xerogel, LAA10 @ 350C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.39,,,ethanol,,,hydrochloric acid,,,,,,l-aspartic acid,0.11,,60,,0.5,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,350,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,tetragonal ,,165
"Zirconia xerogel, LAA10@ 450C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.39,,,ethanol,,,hydrochloric acid,,,,,,l-aspartic acid,0.11,,60,,0.5,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,450,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,"tetragonal, monoclinic",,166
"Zirconia xerogel, LAA10 @ 600C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.39,,,ethanol,,,hydrochloric acid,,,,,,l-aspartic acid,0.11,,60,,0.5,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,600,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,"tetragonal, monoclinic",,167
"Zirconia xerogel, MSA6, as-dried",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.42,,,ethanol,,,,,,,,,mercaptosuccinic acid,0.091,,60,,24,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,,,,,as-dried,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,amorphous,,168
"Zirconia xerogel, MSA6 @ 350C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.42,,,ethanol,,,,,,,,,mercaptosuccinic acid,0.091,,60,,24,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,350,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,tetragonal ,,169
"Zirconia xerogel, MSA6 @ 450C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.42,,,ethanol,,,,,,,,,mercaptosuccinic acid,0.091,,60,,24,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,450,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,"tetragonal, monoclinic",,170
"Zirconia xerogel, MSA6 @ 600C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.42,,,ethanol,,,,,,,,,mercaptosuccinic acid,0.091,,60,,24,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,600,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,"tetragonal, monoclinic",,171
"Zirconia xerogel, MSA8, as-dried",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.41,,,ethanol,,,,,,,,,mercaptosuccinic acid,0.12,,60,,15,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,,,,,as-dried,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,amorphous,,172
"Zirconia xerogel, MSA8 @ 350C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.41,,,ethanol,,,,,,,,,mercaptosuccinic acid,0.12,,60,,15,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,350,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,tetragonal ,,173
"Zirconia xerogel, MSA8 @ 450C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.41,,,ethanol,,,,,,,,,mercaptosuccinic acid,0.12,,60,,15,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,450,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,"tetragonal, monoclinic",,174
"Zirconia xerogel, MSA8 @ 600C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.41,,,ethanol,,,,,,,,,mercaptosuccinic acid,0.12,,60,,15,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,600,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,"tetragonal, monoclinic",,175
"Zirconia xerogel, LMA4, as-dried",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.43,,,ethanol,,,,,,,,,l-malic acid,0.063,,60,,1.5,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,,,,,as-dried,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,amorphous,,176
"Zirconia xerogel, LMA4 @ 350C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.43,,,ethanol,,,,,,,,,l-malic acid,0.063,,60,,1.5,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,350,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,tetragonal ,,177
"Zirconia xerogel, LMA4 @ 450C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.43,,,ethanol,,,,,,,,,l-malic acid,0.063,,60,,1.5,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,450,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,"tetragonal, monoclinic",,178
"Zirconia xerogel, LMA4 @ 600C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.43,,,ethanol,,,,,,,,,l-malic acid,0.063,,60,,1.5,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,600,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,"tetragonal, monoclinic",,179
"Zirconia xerogel, LMA6, as-dried",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.42,,,ethanol,,,,,,,,,l-malic acid,0.091,,60,,0.5,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,,,,,as-dried,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,amorphous,,180
"Zirconia xerogel, LMA6 @ 350C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.42,,,ethanol,,,,,,,,,l-malic acid,0.091,,60,,0.5,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,350,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,tetragonal ,,181
"Zirconia xerogel, LMA6 @ 450C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.42,,,ethanol,,,,,,,,,l-malic acid,0.091,,60,,0.5,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,450,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,"tetragonal, monoclinic",,182
"Zirconia xerogel, LMA6 @ 600C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.42,,,ethanol,,,,,,,,,l-malic acid,0.091,,60,,0.5,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,600,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,"tetragonal, monoclinic",,183
"Zirconia xerogel, LMA8, as-dried",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.41,,,ethanol,,,,,,,,,l-malic acid,0.12,,60,,0,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,,,,,as-dried,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,amorphous,,184
"Zirconia xerogel, LMA8 @ 350C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.41,,,ethanol,,,,,,,,,l-malic acid,0.12,,60,,0,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,350,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,tetragonal ,,185
"Zirconia xerogel, LMA8 @ 450C",Wang et al. ,The investigation of an organic acid assisted sol–gel method for preparing monolithic zirconia aerogels,2018,43,8,sol-gel,,zirconyl chloride octahydrate,0.41,,,ethanol,,,,,,,,,l-malic acid,0.12,,60,,0,,,ethanol,1,0.083,60,ethanol,1,2,40,,,,,,,,,Glassware was preheated to 60C for gelation,oven drying,,60,,0.101,,air,,,,,,,450,,,,,Yes,Hitachi S-4800,Morphology,,,,Yes,"JEM-1200EX, JEOL, Japan)",Morphology,No,,,,Yes,Quantachrome Instrument Corp,"Surface areas, pore size distribution",-196.15,,,,,"Yes, BET/BJH","Surface areas, pore size distribution",Yes,Escalab 250Xi,,,Yes,"X'Pert PRO, PANalytical B.V.",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,Nicolet 5700 spectro- photometer,Surface functional groups,,,,"Yes, with DTA",TA-Q 500,Mass loss with temperature change,1000,,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,"tetragonal, monoclinic",,186
