,Formation Method,Si Precursor,Si Precursor Concentration (M),Additional Si Co-Precursor(s),Si Co-Precursor Concentration (M),Hybrid Aerogel Co-Precursor,Co-Precursor Concentration (M),Dopant,Dopant Concentration (M),Solvent 1,Solvent 1 Concentration (M),Solvent 2,Solvent 2 Concentration (M),Additional Solvents,Acid Catalyst,Acid Catalyst Initial Concentration (M),Acid Catalyst concentration in Sol(M),Base Catalyst,Base Catalyst Initial Concentration(M),Base Catalyst concentration in Sol (M),Hydrolysis Time (hr),Modifier,Modifier Concentration (M),Modifier Solvent,Modifier Solvent (M),Molar Ratio (Modifier/Modifier Solvent),Volume % of Modifier in Solvent,Volume Ratio (Modifier/Modifier Solvent/Additional Solvents),Surfactant,Surfactant Concentration (M),Sol 1,Sol 1 Stir rate (rpm),Sol 1 Stir Time (min),Sol 1 Standing time (hr),Sol 1 Temp (°C),pH Sol 1,Sol 2,Sol 2 Stir rate (rpm),Combined Sol Stir Time (min),Combined Sol 2 Standing time (hr),Sol 2 Temp (°C),pH Sol 2,Gelation Agent,pH final sol,Gelation Temp (°C),Gelation Pressure (MPa),Gelation Time (mins),Aging Conditions,Aging Temp (°C),Aging Time (hrs),Aging Conditions 2,Aging Temp 2 (°C),Aging Time 2 (hrs),Wash Solvent 1,Wash Times 1 (#),Wash Duration 1 (days),Wash Temp 1 (°C),Wash Solvent 2,Wash Times 2 (#),Wash Duration 2 (days),Wash Temp 2 (°C),Wash Solvent 3,Wash Times 3 (#),Wash Duration 3 (days),Wash Temp 3 (°C),Wash Solvent 4,Wash Times 4 (#),Wash Duration 4 (days),Wash Temp 4 (°C),Wash Solvent 5,Wash Times 5 (#),Wash Duration 5 (days),Wash Temp 5 (°C),Drying Method,Drying Solvent,Drying Temp (°C),Drying Pressure (MPa),Drying Time (hrs),Drying Method 2,Drying Temp 2 (°C),Drying Pressure 2 (MPa),Drying Time 2 (hrs),Drying Atmosphere 2,Drying Method 3,Drying Temp 3 (°C),Drying Time 3 (hrs),Drying Atmosphere 3,Drying Pressure 3 (MPa),Drying Temp 4 (°C),Drying Time 4 (hrs),Drying Pressure 4 (MPa),Drying Temp 5 (°C),Drying Time 5 (hrs),Drying Pressure 5 (MPa),Sintering Temp (°C),Sintering Time (min),Ramp Rate (°C/min),Porosity,Porosity (%),Pore Volume (cm3/g),Average Pore Diameter (nm),Surface Area (m2/g),Bulk Density (g/cm3),Young Modulus (MPa),Thermal Conductivity (W/mK),Crystalline Phase,Average Pore Size (nm),Nanoparticle Size (nm)
18,Sol-gel,Water Glass,0.97,,,,,,,H2O,,,,,,,,NH4OH,,,,,,,,,,,,,Silicic Acid,,,,,3,NH4OH,,,,,,,5,,,60,H2O,,6,EtOH,,18,,,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,24,,,,,,,,,,,,,,,,,,,,,93.36,,,628.5,0.146,,,,,
19,Sol-gel,Water Glass,0.12,,,,,,,H2O,,,,,,,,NH4OH,,,,,,,,,,,,,Silicic Acid,,,,,3,NH4OH,,,,,,,5,,,60,H2O,,6,EtOH,,18,,,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,24,,,,,,,,,,,,,,,,,,,,,93.37,,,646.7,0.146,,,,,
20,Sol-gel,Water Glass,0.1,,,,,,,H2O,,,,,,,,NH4OH,,,,,,,,,,,,,Silicic Acid,,,,,3,NH4OH,,,,,,,5,,,60,H2O,,6,EtOH,,18,,,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,24,,,,,,,,,,,,,,,,,,,,,95.41,,,791.6,0.101,,,,,
21,Sol-gel,Water Glass,0.0986,,,,,,,H2O,,,,,,,,NH4OH,,,,,,,,,,,,,Silicic Acid,,,,,3,NH4OH,,,,,,,5,,,60,H2O,,6,EtOH,,18,,,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,24,,,,,,,,,,,,,,,,,,,,,96.16,,,914.4,0.085,,,,,
22,Sol-gel,Water Glass,0.13,,,,,,,H2O,,,,,,,,NH4OH,,,,,,,,,,,,,Silicic Acid,,,,,3,NH4OH,,,,,,,5,,,60,H2O,,6,EtOH,,18,,,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,24,,,,,,,,,,,,,,,,,,,,,95.53,,,690,0.098,,,,,
23,Sol-gel,Water Glass,0.168,,,,,,,H2O,,,,,,,,NH4OH,,,,,,,,,,,,,Silicic Acid,,,,,3,NH4OH,,,,,,,5,,,60,H2O,,6,EtOH,,18,,,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,24,,,,,,,,,,,,,,,,,,,,,94.91,,,647.6,0.0112,,,,,
24,Sol-gel,Water Glass,0.123,,,,,,,H2O,,,,,,,,NH4OH,,,,TMCS,,"Isopropanol, N-hexane",,,,"1, 1, 10",,,Silicic Acid,,,,,3,NH4OH,,,,,,,5,,,60,H2O,,6,EtOH,,18,"TMCS, Isopropanol, N-hexane",3,1,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,24,Ambient Pressure Drying,50,0.101325,3,,Ambient Pressure Drying,80,1,,0.101325,150,1,0.101325,250,2,0.101325,,,,,95.17,,,816.8,0.106,,,,,
25,Sol-gel,Water Glass,0.114,,,,,,,H2O,,,,,,,,NH4OH,,,,TMCS,,"Isopropanol, N-hexane",,,,"1, 1, 10",,,Silicic Acid,,,,,3,NH4OH,,,,,,,5,,,60,H2O,,6,EtOH,,18,"TMCS, Isopropanol, N-hexane",3,1,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,24,Ambient Pressure Drying,50,0.101325,3,,Ambient Pressure Drying,80,1,,0.101325,150,1,0.101325,250,2,0.101325,,,,,95.56,,,851.7,0.098,,,,,
26,Sol-gel,Water Glass,0.099,,,,,,,H2O,,,,,,,,NH4OH,,,,TMCS,,"Isopropanol, N-hexane",,,,"1, 1, 10",,,Silicic Acid,,,,,3,NH4OH,,,,,,,5,,,60,H2O,,6,EtOH,,18,"TMCS, Isopropanol, N-hexane",3,1,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,24,Ambient Pressure Drying,50,0.101325,3,,Ambient Pressure Drying,80,1,,0.101325,150,1,0.101325,250,2,0.101325,,,,,96.16,,,914.4,0.085,,,,,
27,Sol-gel,Water Glass,0.099,,,,,,,H2O,,,,,,,,NH4OH,,,,TMCS,,"Isopropanol, N-hexane",,,,"1, 1, 10",,,Silicic Acid,,,,,3,NH4OH,,,,,,,5,,,60,H2O,,6,EtOH,,18,"TMCS, Isopropanol, N-hexane",3,1,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,24,Ambient Pressure Drying,50,0.101325,3,,Ambient Pressure Drying,80,1,,0.101325,150,1,0.101325,250,2,0.101325,,,,,96.14,,,924.1,0.085,,,,,
28,Sol-gel,Water Glass,0.107,,,,,,,H2O,,,,,,,,NH4OH,,,,TMCS,,"Isopropanol, N-hexane",,,,"1, 1, 10",,,Silicic Acid,,,,,3,NH4OH,,,,,,,5,,,60,H2O,,6,EtOH,,18,"TMCS, Isopropanol, N-hexane",3,1,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,24,Ambient Pressure Drying,50,0.101325,3,,Ambient Pressure Drying,80,1,,0.101325,150,1,0.101325,250,2,0.101325,,,,,95.8,,,830.1,0.092,,,,,
29,Sol-gel,Water Glass,0.112,,,,,,,H2O,,,,,,,,NH4OH,,,,TMCS,,"Isopropanol, N-hexane",,,,"1, 1, 10",,,Silicic Acid,,,,,3,NH4OH,,,,,,,5,,,60,H2O,,6,EtOH,,18,"TMCS, Isopropanol, N-hexane",3,1,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,24,Ambient Pressure Drying,50,0.101325,3,,Ambient Pressure Drying,80,1,,0.101325,150,1,0.101325,250,2,0.101325,,,,,95.62,,,802.7,0.096,,,,,
30,Sol-gel,Water Glass,0.076,,,,,,,H2O,69.654,,,,H2SO4,4,0.204,NH4F,1,0.062,,TMCS,,N-hexane,,"0.07, 1",,,,,"Water Glass, H2O",,,,,11,NH4F,,240,,20,,,,,,,Isopropanol,50,24,,,,"TMCS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,1,Ambient Pressure Drying,150,0.101325,2,,,,,,,,,,,,,,,,,74.7,0.5807,10.36,224,0.48,,,,,
31,Sol-gel,Water Glass,0.027,,,,,,,H2O,24.849,,,,H2SO4,4,0.073,NH4F,1,0.022,,TMCS,,N-hexane,,"0.1, 1",,,,,"Water Glass, H2O",,,,,11,NH4F,,240,,20,,,,,,,Isopropanol,50,24,,,,"TMCS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,1,Ambient Pressure Drying,150,0.101325,2,,,,,,,,,,,,,,,,,87.1,1.898,17.13,443,0.24,,,,,
32,Sol-gel,Water Glass,0.017,,,,,,,H2O,15.734,,,,H2SO4,4,0.046,NH4F,1,0.014,,TMCS,,N-hexane,,"0.14, 1",,,,,"Water Glass, H2O",,,,,11,NH4F,,240,,20,,,,,,,Isopropanol,50,24,,,,"TMCS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,1,Ambient Pressure Drying,150,0.101325,2,,,,,,,,,,,,,,,,,89.5,3.08,26.74,461,0.2,,,,,
33,Sol-gel,Water Glass,0.019,,,,,,,H2O,17.08,,,,H2SO4,4,0.05,NH4F,1,0.015,,TMCS,,N-hexane,,"0.18, 1",,,,,"Water Glass, H2O",,,,,11,NH4F,,240,,20,,,,,,,Isopropanol,50,24,,,,"TMCS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,1,Ambient Pressure Drying,150,0.101325,2,,,,,,,,,,,,,,,,,89.3,2.831,23,492,0.2,,,,,
34,Sol-gel,Water Glass,0.021,,,,,,,H2O,19.579,,,,H2SO4,4,0.057,NH4F,1,0.018,,TMCS,,N-hexane,,"0.22, 1",,,,,"Water Glass, H2O",,,,,11,NH4F,,240,,20,,,,,,,Isopropanol,50,24,,,,"TMCS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,1,Ambient Pressure Drying,150,0.101325,2,,,,,,,,,,,,,,,,,86.6,2.395,20.94,457,0.26,,,,,
35,Sol-gel,Water Glass,0.039,,,,,,,H2O,36.306,,,,H2SO4,4,0.106,NH4F,1,0.032,,TMMS,,N-hexane,,"0.07, 1",,,,,"Water Glass, H2O",,,,,11,NH4F,,240,,20,,,,,,,Isopropanol,50,24,,,,"TMMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,1,Ambient Pressure Drying,150,0.101325,2,,,,,,,,,,,,,,,,,70,1.044,12.62,170,0.6,,,,,
36,Sol-gel,Water Glass,0.077,,,,,,,H2O,70.808,,,,H2SO4,4,0.208,NH4F,1,0.063,,TMMS,,N-hexane,,"0.1, 1",,,,,"Water Glass, H2O",,,,,11,NH4F,,240,,20,,,,,,,Isopropanol,50,24,,,,"TMMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,1,Ambient Pressure Drying,150,0.101325,2,,,,,,,,,,,,,,,,,69.7,0.533,9.549,223,0.61,,,,,
37,Sol-gel,Water Glass,0.061,,,,,,,H2O,56.004,,,,H2SO4,4,0.164,NH4F,1,0.05,,TMMS,,N-hexane,,"0.14, 1",,,,,"Water Glass, H2O",,,,,11,NH4F,,240,,20,,,,,,,Isopropanol,50,24,,,,"TMMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,1,Ambient Pressure Drying,150,0.101325,2,,,,,,,,,,,,,,,,,69.4,0.671,9,298,0.61,,,,,
38,Sol-gel,Water Glass,0.07,,,,,,,H2O,64.059,,,,H2SO4,4,0.188,NH4F,1,0.057,,TMMS,,N-hexane,,"0.18, 1",,,,,"Water Glass, H2O",,,,,11,NH4F,,240,,20,,,,,,,Isopropanol,50,24,,,,"TMMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,1,Ambient Pressure Drying,150,0.101325,2,,,,,,,,,,,,,,,,,69.8,0.59,8.581,275,0.6,,,,,
39,Sol-gel,Water Glass,0.079,,,,,,,H2O,72.754,,,,H2SO4,4,0.213,NH4F,1,0.065,,TMMS,,N-hexane,,"0.22, 1",,,,,"Water Glass, H2O",,,,,11,NH4F,,240,,20,,,,,,,Isopropanol,50,24,,,,"TMMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,1,Ambient Pressure Drying,150,0.101325,2,,,,,,,,,,,,,,,,,69.6,0.518,10.39,199,0.61,,,,,
40,Sol-gel,Water Glass,0.022,,,,,,,H2O,20.328,,,,H2SO4,4,0.06,NH4F,1,0.018,,DMDMS,,N-hexane,,"0.07, 1",,,,,"Water Glass, H2O",,,,,11,NH4F,,240,,20,,,,,,,Isopropanol,50,24,,,,"DMDMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,1,Ambient Pressure Drying,150,0.101325,2,,,,,,,,,,,,,,,,,89.8,2.392,20.13,475,0.19,,,,,
41,Sol-gel,Water Glass,0.029,,,,,,,H2O,26.558,,,,H2SO4,4,0.078,NH4F,1,0.024,,DMDMS,,N-hexane,,"0.1, 1",,,,,"Water Glass, H2O",,,,,11,NH4F,,240,,20,,,,,,,Isopropanol,50,24,,,,"DMDMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,1,Ambient Pressure Drying,150,0.101325,2,,,,,,,,,,,,,,,,,90.1,1.837,16.36,450,0.19,,,,,
42,Sol-gel,Water Glass,0.027,,,,,,,H2O,24.974,,,,H2SO4,4,0.073,NH4F,1,0.022,,DMDMS,,N-hexane,,"0.14, 1",,,,,"Water Glass, H2O",,,,,11,NH4F,,240,,20,,,,,,,Isopropanol,50,24,,,,"DMDMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,1,Ambient Pressure Drying,150,0.101325,2,,,,,,,,,,,,,,,,,90.4,1.96,17.41,449,0.18,,,,,
43,Sol-gel,Water Glass,0.031,,,,,,,H2O,28.729,,,,H2SO4,4,0.084,NH4F,1,0.026,,DMDMS,,N-hexane,,"0.18, 1",,,,,"Water Glass, H2O",,,,,11,NH4F,,240,,20,,,,,,,Isopropanol,50,24,,,,"DMDMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,1,Ambient Pressure Drying,150,0.101325,2,,,,,,,,,,,,,,,,,91.1,1.717,16.12,427,0.17,,,,,
44,Sol-gel,Water Glass,0.028,,,,,,,H2O,26.019,,,,H2SO4,4,0.076,NH4F,1,0.023,,DMDMS,,N-hexane,,"0.22, 1",,,,,"Water Glass, H2O",,,,,11,NH4F,,240,,20,,,,,,,Isopropanol,50,24,,,,"DMDMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,1,Ambient Pressure Drying,150,0.101325,2,,,,,,,,,,,,,,,,,91.3,1.9,20.4,426,0.17,,,,,
